Date,Millions of Doses,year,US president,party
1980-1981,12.4,1980,Jimmy Carter,Democrat
1981-1982,19.8,1981,Ronald Reagan,Republican
1982-1983,17.0,1982,Ronald Reagan,Republican
1983-1984,17.9,1983,Ronald Reagan,Republican
1984-1985,14.2,1984,Ronald Reagan,Republican
1985-1986,20.1,1985,Ronald Reagan,Republican
1986-1987,19.3,1986,Ronald Reagan,Republican
1987-1988,22.6,1987,Ronald Reagan,Republican
1988-1989,19.9,1988,George H. W. Bush,Republican
1989-1990,26.1,1989,George H. W. Bush,Republican
1990-1991,28.3,1990,George H. W. Bush,Republican
1991-1992,28.5,1991,George H. W. Bush,Republican
1992-1993,38.3,1992,Bill Clinton,Democrat
1993-1994,47.1,1993,Bill Clinton,Democrat
1994-1995,52.1,1994,Bill Clinton,Democrat
1995-1996,54.9,1995,Bill Clinton,Democrat
1996-1997,58.2,1996,Bill Clinton,Democrat
1997-1998,75.3,1997,Bill Clinton,Democrat
1998-1999,62.6,1998,Bill Clinton,Democrat
1999-2000,76.8,1999,Bill Clinton,Democrat
2000-2001,70.4,2000,George W. Bush,Republican
2001-2002,77.7,2001,George W. Bush,Republican
2002-2003,83.0,2002,George W. Bush,Republican
2003-2004,83.1,2003,George W. Bush,Republican
2004-2005,57.0,2004,George W. Bush,Republican
2005-2006,81.2,2005,George W. Bush,Republican
2006-2007,103.4,2006,George W. Bush,Republican
2007-2008,112.4,2007,George W. Bush,Republican
2008-2009,110.9,2008,Barack Obama,Democrat
2009-2010,114.0,2009,Barack Obama,Democrat
2010-2011,155.1,2010,Barack Obama,Democrat
2011-2012,132.0,2011,Barack Obama,Democrat
2012-2013,134.9,2012,Barack Obama,Democrat
2013-2014,134.5,2013,Barack Obama,Democrat
2014-2015,147.8,2014,Barack Obama,Democrat
2015-2016,146.4,2015,Barack Obama,Democrat
2016-2017,145.9,2016,Donald Trump,Republican
2017-2018,155.3,2017,Donald Trump,Republican
2018-2019*,170.7,2018,Donald Trump,Republican
2019-2020*,175.2,2019,Donald Trump,Republican
2020-2021*,194.4,2020,Joe Biden,Democrat
2021-2022*,175.6,2021,Joe Biden,Democrat
2022-2023,173.4,2022,Joe Biden,Democrat
2023-2024,157.7,2023,Joe Biden,Democrat
2024-2025,147.5,2024,Joe Biden,Democrat
